id,name,urgent,gramNegative,novel,company,2014,2015,2016,2017,2018,2019,2020
1,ACHN-975,TRUE,TRUE,TRUE,Achaogen Inc.,1d,1d,1d,1d,1d,1d,1d
2,Ibezapolstat,TRUE,FALSE,TRUE,Acurx Pharmaceuticals LLC,0,0,0,0,1,1,2
3,Afabicin (Debio 1450),FALSE,FALSE,TRUE,Debiopharm International SA,1,2,2,2,2,2,2
4,AIC499,FALSE,FALSE,FALSE,AiCuris Anti-infective Cures GmbH,0,0,0,1,1,1d,1d
5,Avarofloxacin,FALSE,FALSE,FALSE,Allergan PLC (formerly Actavis PLC),2,2,2d,2d,2d,2d,2d
6,Avycaz (ceftazidime + avibactam),TRUE,TRUE,TRUE,AstraZeneca PLC/Actavis PLC,4,5,5,5,5,5,5
7,BAL30072,TRUE,TRUE,FALSE,Basilea Pharmaceutica Ltd.,1,1,1d,1d,1d,1d,1d
8,Baxdela (delafloxacin),FALSE,FALSE,FALSE,Melinta Therapeutics Inc.,3,3,4,5,5,5,5
9,BOS-228,TRUE,TRUE,FALSE,Boston Pharmaceuticals Inc.,0,0,0,2,2,2,2
10,Brilacidin,FALSE,FALSE,TRUE,Innovation Pharmaceuticals Inc.,2,2,2,2,2,2,2
11,Cadazolid,TRUE,FALSE,FALSE,Actelion Pharmaceuticals Ltd.,3,3,3,3,3d,3d,3d
12,Exblifep (cefepime + enmetazobactam),FALSE,TRUE,FALSE,Allecra Therapeutics GmbH,0,0,0,2,3,3,3
13,Cefepime + taniborbactam,TRUE,TRUE,FALSE,Venatorx Pharmaceuticals Inc./Global Antibiotic Research and Development Partnership (GARDP) (Everest Medicines II Ltd. Licensee),0,0,0,1,1,3,3
14,WCK 5222 (cefepime + zidebactam),TRUE,TRUE,FALSE,Wockhardt Ltd.,0,0,1,1,1,1,3
15,Fetroja (cefiderocol),TRUE,TRUE,FALSE,Shionogi & Co. Ltd.,2,2,3,3,3,5,5
16,Cefilavacin,FALSE,FALSE,FALSE,R-Pharm,2d,2d,2d,3,3,3,3
